Fecha_Hora_Salida,Vehiculo,Pasaj,Kms,Tiempo_viaje_s,Tiempo_muerto_s,Jornada
2024-07-15 03:57:06,19,16,7.51,1753.0,0.0,Madrugada
2024-07-15 04:02:06,17,16,15.25,6660.0,0.0,Madrugada
2024-07-15 04:07:06,17,16,15.25,6660.0,0.0,Madrugada
2024-07-15 04:12:06,20,27,14.64,4651.0,0.0,Madrugada
2024-07-15 04:17:06,14,26,6.76,2294.0,0.0,Madrugada
2024-07-15 04:22:06,14,26,6.76,2294.0,0.0,Madrugada
2024-07-15 04:27:06,13,52,13.63,4574.0,0.0,Madrugada
2024-07-15 04:32:06,12,20,14.05,4496.0,0.0,Madrugada
2024-07-15 04:37:06,12,20,14.05,4496.0,0.0,Madrugada
2024-07-15 04:42:06,6,38,22.41,6014.0,0.0,Madrugada
2024-07-15 04:47:06,6,38,22.41,6014.0,0.0,Madrugada
2024-07-15 04:52:06,7,35,14.49,4306.0,0.0,Madrugada
2024-07-15 04:57:06,9,39,7.68,2432.0,0.0,Madrugada
2024-07-15 05:02:06,4,47,13.72,4666.0,0.0,Madrugada
2024-07-15 05:07:06,26,50,13.56,5385.0,0.0,Madrugada
2024-07-15 05:12:06,28,40,14.3,5058.0,0.0,Madrugada
2024-07-15 05:17:06,28,40,14.3,5058.0,0.0,Madrugada
2024-07-15 05:22:06,25,35,15.33,5411.0,0.0,Madrugada
2024-07-15 05:27:06,16,31,5.73,2523.0,0.0,Madrugada
2024-07-15 05:32:06,29,50,14.95,6369.0,0.0,Madrugada
2024-07-15 05:37:06,29,50,14.95,6369.0,0.0,Madrugada
2024-07-15 05:42:06,33,33,14.06,6020.0,0.0,Madrugada
2024-07-15 05:47:06,18,53,14.32,7016.0,2829.0,Madrugada
2024-07-15 05:52:06,18,53,14.32,7016.0,2829.0,Madrugada
2024-07-15 05:57:06,17,38,7.89,2692.0,0.0,Mañana
2024-07-15 06:02:06,32,52,15.14,6255.0,0.0,Mañana
2024-07-15 06:07:06,32,52,15.14,6255.0,0.0,Mañana
2024-07-15 06:12:06,1,33,6.76,2840.0,0.0,Mañana
2024-07-15 06:17:06,20,42,14.47,6025.0,2886.0,Mañana
2024-07-15 06:22:06,14,44,14.95,6080.0,5444.0,Mañana
2024-07-15 06:27:06,14,44,14.95,6080.0,5444.0,Mañana
2024-07-15 06:32:06,14,44,14.95,6080.0,5444.0,Mañana
