Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-15,06:16:21,07:03:41,00:47:20,00:00:00,33,1,6.76,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-15,08:12:50,09:37:59,01:25:09,01:09:09,22,1,11.73,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-15,11:13:33,13:15:40,02:02:07,01:35:34,27,1,14.38,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-15,15:26:55,17:13:28,01:46:33,02:11:15,48,1,13.53,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-15,17:54:59,19:37:16,01:42:17,00:41:31,38,1,13.51,85 4 HONDA - MINORISTA - HONDA,Ver
Fecha: 2024-07-15,Vehiculo: 01,,,07:43:26,05:37:29,168,"5,00",59.91,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-16,05:38:56,07:27:36,01:48:40,00:00:00,43,1,15.13,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-16,07:58:36,09:41:06,01:42:30,00:31:00,28,1,13.14,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-16,10:22:28,12:58:12,02:35:44,00:41:22,44,1,14.56,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-16,13:09:15,15:20:27,02:11:12,00:11:03,57,1,14.47,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-16,15:26:02,17:44:56,02:18:54,00:05:35,42,1,14.96,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-16,17:51:56,19:50:05,01:58:09,00:07:00,45,1,14.79,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-16,Vehiculo: 01,,,12:35:09,01:36:00,259,"6,00",87.05,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-17,06:19:54,07:56:00,01:36:06,00:00:00,40,1,13.79,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-17,08:54:49,10:48:34,01:53:45,00:58:49,30,1,15.03,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-17,10:50:17,13:26:21,02:36:04,00:01:43,44,1,14.39,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-17,13:55:42,15:43:03,01:47:21,00:29:21,36,1,15.37,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-17,15:44:40,18:05:12,02:20:32,00:01:37,36,1,15.25,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-17,18:29:04,20:02:03,01:32:59,00:23:52,32,1,13.5,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-17,Vehiculo: 01,,,11:46:47,01:55:22,218,"6,00",87.33,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-18,06:29:54,08:32:14,02:02:20,00:00:00,57,1,13.87,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-18,09:05:02,11:29:50,02:24:48,00:32:48,52,1,14.3,85 6 CRUZ - ORIENTAL - HONDA,Ver
01,2024-07-18,12:00:33,14:08:08,02:07:35,00:30:43,24,1,15.35,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-18,14:20:57,16:26:31,02:05:34,00:12:49,27,1,13.92,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-18,16:29:36,18:40:28,02:10:52,00:03:05,30,1,14.14,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-18,18:40:28,20:14:31,01:34:03,00:00:00,16,1,14.04,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-18,20:21:31,21:32:53,01:11:22,00:07:00,26,1,13.39,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-18,21:34:19,23:02:50,01:28:31,00:01:26,19,1,14.14,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-18,Vehiculo: 01,,,15:05:05,01:27:51,251,"8,00",113.15,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
